Texas Education Agency

Total Enrollment Counts in Student Program and Special Populations Reports

PEIMS Data 2024-2025

"SCOPE","AGGREGATION LEVEL","YEAR","DISTRICT NUMBER","DISTRICT NAME","REGION","CHARTER STATUS","ALL ENROLLMENT","AT RISK","BILINGUAL","DYSLEXIC","ECONOMICALLY DISADVANTAGED","EMERGENT BILINGUAL","ESL","FOSTER CARE","GIFTED & TALENTED","HOMELESS","MILITARY CONNECTED","SECTION 504","SPECIAL EDUCATION","TITLE I"
"STATE","DISTRICT","2024-2025",057829,"A+ ACADEMY",10,"OPEN ENROLLMENT CHARTER",1678,1182,16,72,1590,943,-999,-999,77,0,0,28,244,1678
"STATE","DISTRICT","2024-2025",101871,"A+ UNLIMITED POTENTIAL",04,"OPEN ENROLLMENT CHARTER",203,126,0,11,161,14,16,0,0,-999,-999,10,39,202
"STATE","DISTRICT","2024-2025",109901,"ABBOTT ISD",12,"TRADITIONAL ISD/CSD",284,91,0,31,109,-999,-999,0,20,-999,-999,21,45,284
"STATE","DISTRICT","2024-2025",095901,"ABERNATHY ISD",17,"TRADITIONAL ISD/CSD",808,221,0,78,393,-999,-999,0,145,0,52,84,109,808
"STATE","DISTRICT","2024-2025",221901,"ABILENE ISD",14,"TRADITIONAL ISD/CSD",14536,8858,46,695,9991,1277,858,114,1379,825,942,704,2886,10580
"STATE","DISTRICT","2024-2025",057814,"ACADEMY FOR ACADEMIC EXCELLENCE",10,"OPEN ENROLLMENT CHARTER",280,280,0,25,280,40,44,0,0,-999,0,31,81,278
"STATE","DISTRICT","2024-2025",014901,"ACADEMY ISD",12,"TRADITIONAL ISD/CSD",1832,509,0,117,680,114,101,-999,183,-999,238,193,308,848
"STATE","DISTRICT","2024-2025",101810,"ACADEMY OF ACCELERATED LEARNING INC",04,"OPEN ENROLLMENT CHARTER",738,543,182,-999,652,508,320,0,0,-999,0,-999,34,738
"STATE","DISTRICT","2024-2025",057810,"ACADEMY OF DALLAS",10,"OPEN ENROLLMENT CHARTER",220,147,0,-999,194,20,20,-999,0,0,0,-999,21,220
"STATE","DISTRICT","2024-2025",220821,"ACADEMY OF VISUAL AND PERFORMING ARTS",11,"OPEN ENROLLMENT CHARTER",146,33,0,-999,0,-999,-999,0,19,0,-999,13,22,-999
"STATE","DISTRICT","2024-2025",101849,"ACCELERATED INTERMEDIATE ACADEMY",04,"OPEN ENROLLMENT CHARTER",182,179,0,0,179,69,70,0,0,0,0,0,-999,182
"STATE","DISTRICT","2024-2025",180903,"ADRIAN ISD",16,"TRADITIONAL ISD/CSD",141,63,0,20,92,12,15,0,-999,0,0,12,24,141
"STATE","DISTRICT","2024-2025",057806,"ADVANTAGE ACADEMY",10,"OPEN ENROLLMENT CHARTER",972,688,0,35,780,207,56,-999,16,50,20,30,103,972
"STATE","DISTRICT","2024-2025",178901,"AGUA DULCE ISD",02,"TRADITIONAL ISD/CSD",421,128,-999,21,304,-999,-999,0,10,0,-999,40,49,421
"STATE","DISTRICT","2024-2025",015901,"ALAMO HEIGHTS ISD",20,"TRADITIONAL ISD/CSD",4749,1212,480,326,928,419,143,-999,891,19,505,594,688,95
"STATE","DISTRICT","2024-2025",250906,"ALBA-GOLDEN ISD",07,"TRADITIONAL ISD/CSD",818,380,0,60,488,22,22,-999,51,56,0,86,168,817
"STATE","DISTRICT","2024-2025",209901,"ALBANY ISD",14,"TRADITIONAL ISD/CSD",474,205,0,34,186,23,20,-999,24,11,14,42,85,473
"STATE","DISTRICT","2024-2025",101902,"ALDINE ISD",04,"TRADITIONAL ISD/CSD",56419,44611,9431,3315,48975,27151,10344,249,3702,393,140,2412,6579,56216
"STATE","DISTRICT","2024-2025",184907,"ALEDO ISD",11,"TRADITIONAL ISD/CSD",8430,1423,0,706,1133,255,142,-999,703,68,1039,853,1189,1251
"STATE","DISTRICT","2024-2025",125901,"ALICE ISD",02,"TRADITIONAL ISD/CSD",4297,2320,0,248,3809,122,108,20,164,184,119,314,822,4296
"STATE","DISTRICT","2024-2025",101903,"ALIEF ISD",04,"TRADITIONAL ISD/CSD",38610,33399,9671,2344,33329,22597,10140,34,2072,1159,43,879,6233,38556
"STATE","DISTRICT","2024-2025",101815,"ALIEF MONTESSORI COMMUNITY SCHOOL",04,"OPEN ENROLLMENT CHARTER",367,310,0,13,288,-999,304,0,0,0,0,-999,39,367
"STATE","DISTRICT","2024-2025",043901,"ALLEN ISD",10,"TRADITIONAL ISD/CSD",20838,6586,290,2040,4169,2879,2205,10,3197,61,1044,2061,3349,439
"STATE","DISTRICT","2024-2025",022901,"ALPINE ISD",18,"TRADITIONAL ISD/CSD",905,385,0,37,461,69,42,0,54,0,0,29,133,905
"STATE","DISTRICT","2024-2025",037901,"ALTO ISD",07,"TRADITIONAL ISD/CSD",505,244,0,36,388,94,92,-999,35,18,36,53,95,505
"STATE","DISTRICT","2024-2025",126901,"ALVARADO ISD",11,"TRADITIONAL ISD/CSD",3788,1819,300,128,2497,1035,522,-999,230,76,56,304,537,2625
"STATE","DISTRICT","2024-2025",020901,"ALVIN ISD",04,"TRADITIONAL ISD/CSD",30038,13168,1598,1592,15345,4941,3393,131,3181,316,1265,1945,4621,15056
"STATE","DISTRICT","2024-2025",249901,"ALVORD ISD",11,"TRADITIONAL ISD/CSD",844,382,0,78,324,55,55,0,86,-999,66,100,161,437
"STATE","DISTRICT","2024-2025",188901,"AMARILLO ISD",16,"TRADITIONAL ISD/CSD",29321,16070,1270,2085,20658,5564,3818,111,1467,794,399,1109,5195,24018
"STATE","DISTRICT","2024-2025",084804,"AMBASSADORS PREPARATORY ACADEMY",04,"OPEN ENROLLMENT CHARTER",167,50,0,-999,140,-999,-999,0,-999,0,0,-999,12,167
"STATE","DISTRICT","2024-2025",140901,"AMHERST ISD",17,"TRADITIONAL ISD/CSD",102,82,0,-999,96,53,53,0,-999,-999,-999,-999,16,102
"STATE","DISTRICT","2024-2025",101819,"AMIGOS POR VIDA-FRIENDS FOR LIFE PUB CHTR SCH",04,"OPEN ENROLLMENT CHARTER",750,614,293,-999,726,607,150,0,0,0,-999,-999,56,750
"STATE","DISTRICT","2024-2025",036901,"ANAHUAC ISD",04,"TRADITIONAL ISD/CSD",1552,762,0,124,823,123,101,-999,87,28,114,112,292,1076
"STATE","DISTRICT","2024-2025",093901,"ANDERSON-SHIRO CISD",06,"TRADITIONAL ISD/CSD",979,252,0,135,364,35,44,0,65,-999,0,86,186,979
"STATE","DISTRICT","2024-2025",002901,"ANDREWS ISD",18,"TRADITIONAL ISD/CSD",4209,2119,486,289,2200,797,327,-999,289,53,128,377,628,4171
"STATE","DISTRICT","2024-2025",020902,"ANGLETON ISD",04,"TRADITIONAL ISD/CSD",7105,3762,752,506,4634,1195,670,-999,601,79,270,660,1296,4804
"STATE","DISTRICT","2024-2025",043902,"ANNA ISD",10,"TRADITIONAL ISD/CSD",6038,2821,176,642,2968,767,421,16,337,23,303,716,1115,3104
"STATE","DISTRICT","2024-2025",127901,"ANSON ISD",14,"TRADITIONAL ISD/CSD",723,391,0,59,425,24,20,-999,63,95,15,18,151,723
"STATE","DISTRICT","2024-2025",071906,"ANTHONY ISD",19,"TRADITIONAL ISD/CSD",725,362,0,26,562,203,159,0,72,10,10,28,120,725
"STATE","DISTRICT","2024-2025",110901,"ANTON ISD",17,"TRADITIONAL ISD/CSD",175,102,0,18,115,-999,0,0,-999,0,16,11,44,175
"STATE","DISTRICT","2024-2025",228905,"APPLE SPRINGS ISD",06,"TRADITIONAL ISD/CSD",179,-999,0,-999,107,0,0,0,-999,0,0,-999,31,177
"STATE","DISTRICT","2024-2025",109912,"AQUILLA ISD",12,"TRADITIONAL ISD/CSD",332,120,0,30,157,14,14,-999,31,0,-999,40,57,332
